,Repository Information,,,Author Information,,,,,,,,,,,Literary Text Information,,,,Information about the Fiction,,,,,,
File Name,ID Svenja,ID (d-prose),Repository,Author's Given Name,Author's Last Name,Author's Whole Name,Pseudonyms or Other Names,Used Name in this dataset,Nationality,Birth Year,Death Year,AutorGender,Further Information on Author,GND-Number,Title of literary text,File Name,Used Date in this dataset,Genre,fictional time between 1800-1920?,sample text snippet for time,fictional space in German-speaking area,sample text snippet for space,fictional space categorization,Token Count,Word Count
Achleitner_Arthur_Das_Schloss_im_Moor.txt,1,1,gutenberg,Arthur,Achleitner,Arthur Achleitner,-,Arthur Achleitner,Deutschland ,1858,1927,male,"geb. in Straubing, gest. in München; Unterhaltungsliteratur, Romane und Erzählungen; Heimat-, Alpen- und Jagdgeschichten, Gesellschaftsromane",116005327,Das Schloß im Moor,Achleitner_Arthur_Das_Schloss_im_Moor.txt,1903,Roman,ja,nach 1885 [Uraufführung Zigeunerbaron 1885]»Opernfreund sind Sie wohl nicht?« »Ach gewiß! Der ›Zigeunerbaron‹ zum Beispiel hat mir trotz des einigermaßen befremdlichen Titels recht gut gefallen.,ja,"Roman aus den bayerischen Bergen, Von Geburt nicht, aber lange Jahre in Norddeutschland gewesen, in Berlin in Hofstellung, vorher wohnte ich in Osnabrück und Hamburg",Deutschland,61568,53164
Achleitner_Arthur_Der_Finanzer.txt,2,2,gutenberg,Arthur,Achleitner,Arthur Achleitner,-,Arthur Achleitner,Deutschland ,1858,1927,male,"geb. in Straubing, gest. in München; Unterhaltungsliteratur, Romane und Erzählungen; Heimat-, Alpen- und Jagdgeschichten, Gesellschaftsromane",116005327,Der Finanzer,Achleitner_Arthur_Der_Finanzer.txt,1903,Erzählung,ja,"Schnellzug, Österr. Kaiser",ja,Erzählung vom Bodensee,Österreich,28240,24600
Adolph_Karl_Schackerl.txt,3,4,gutenberg,Karl,Adolph,Karl Adolph,-,Karl Adolph,Österreich,1869,1931,male,"geb. in Wien, gest. in Wien; ständiger Mitarbeiter der Wiener Arbeiter-Zeitung; schilderte in Romanen und Skizzen das Leben von Proletariern und Kleinbürgern der Wiener Vorstädte in naturalistischer Darstellung; 1914 Bauernfeld-Preis",123217687,Schackerl,Adolph_Karl_Schackerl.txt,1912,Roman,ja,Eisenbahn,ja,Eine Wiener Geschichte,Österreich,48194,41024
Adolph_Karl_Toechter.txt,4,5,gutenberg,Karl,Adolph,Karl Adolph,-,Karl Adolph,Österreich,1869,1931,male,"geb. in Wien, gest. in Wien; ständiger Mitarbeiter der Wiener Arbeiter-Zeitung; schilderte in Romanen und Skizzen das Leben von Proletariern und Kleinbürgern der Wiener Vorstädte in naturalistischer Darstellung; 1914 Bauernfeld-Preis",123217687,Töchter,Adolph_Karl_Toechter.txt,1914,Roman,ja,Beethoven,ja,die Straßen Wiens mit dampfender Glut zu erfüllen,Österreich,108949,91169
Altenberg_Peter_Paulina.txt,5,25,textgrid,Richard,Engländer,Richard Engländer,Peter Altenberg,Peter Altenberg,Österreich,1859,1919,male,"geb. in Wien, gest. in Wien; bekennender Pädophiler; kurze Prosatexte; Wiener Moderne/Wiener Impressionismus",118502255,Paulina,Altenberg_Peter_Paulina.txt,1901,Novelle,ja,"Ganz einfach am 17. September 1896; Beethoven-Sonate, So, glaube ich, küssten Lenau, Hölderlin, Cigaretten",ja,"Jetzt sass sie da, zwischen P.A. und Willy Rose, der jungen Freundin und trank langsam Blumen des Rheines, welche an sanften Hügeln gepflückt waren und ihre Seelen geben mussten – –; Beethoven entführte mich und Hölderlin und der Sanct-Wolfgang-See entführte mich und alle Sonnen, welche auf- und untergehen; und das Gepiepse des letzten Vögelchens entführt mich",Deutschland/Österreich/Frankreich,6750,5691
Altenberg_Peter_Prodromos.txt,6,26,DTA,Richard,Engländer,Richard Engländer,Peter Altenberg,Peter Altenberg,Österreich,1859,1919,male,"geb. in Wien, gest. in Wien; bekennender Pädophiler; kurze Prosatexte; Wiener Moderne/Wiener Impressionismus",118502255,Pròdrŏmŏs,Altenberg_Peter_Prodromos.txt,1905,Skizzen,ja,Diese Worte haben mir seit 1897 bis heute die grösste Freude von allen bereitet!,ja,"Berlin, Draussen lag die vereiste Waldstrasse im Mondlicht und der Sturm sang vom Mürztal herauf in den schwarzen Föhrenwald hinein am Göstritz",Deutschland,39342,33212
Anklam_Louise_Kindergeschichten_Der_Herr_Kaiser.txt,7,38,gutenberg,Louise,Anklam,Louise Anklam,-,Louise Anklam,Deutschland,NA,NA,female,geb. in Posen; Kindergeschichten,125905726,Der Herr Kaiser,Anklam_Louise_Kindergeschichten_Der_Herr_Kaiser.txt,1898,Erzählung,ja,als Kaiser Wilhelm der Große regierte,ja,in Hinterpommern,Deutschland,4276,3721
Anklam_Louise_Kindergeschichten_Der_Weihnachtsabend.txt,8,40,gutenberg,Louise,Anklam,Louise Anklam,-,Louise Anklam,Deutschland,NA,NA,female,geb. in Posen; Kindergeschichten,125905726,Der Weihnachtsabend,Anklam_Louise_Kindergeschichten_Der_Weihnachtsabend.txt,1898,Erzählung,ja,Schaufenster,ja,Pfennig ,Deutschland,4466,3872
Anklam_Louise_Kindergeschichten_Der_wilde_Arno.txt,9,41,gutenberg,Louise,Anklam,Louise Anklam,-,Louise Anklam,Deutschland,NA,NA,female,geb. in Posen; Kindergeschichten,125905726,Der wilde Arno,Anklam_Louise_Kindergeschichten_Der_wilde_Arno.txt,1898,Erzählung,ja,Zehnpfennigstück,ja,"Zehnpfennigstück , Pastor",Deutschland,4613,4019
