Text,unvollständig Goldstandard,unvollständig Goldstandard LL,Alina,Alina LL,Svenja,Svenja LL,dictionary anno
<chapter>I</chapter>,0,0,0,0,0,0,0
"fand er sich in seinem Bett zu einem  ungeheueren Ungeziefer verwandelt,",0,0,0,0,0,0,0
"Er lag auf seinem panzerartig harten Rücken,",0,0,0,0,0,0,0
"und sah seinen gewölbten, braunen, von bogenförmigen Versteifungen geteilten Bauch,",0,0,0,0,0,0,0
"wenn er den Kopf ein  wenig hob,",0,0,0,0,0,0,0
"auf dessen Höhe sich  die Bettdecke, zum gänzlichen Niedergleiten bereit, kaum noch erhalten konnte,",0,0,0,0,0,0,0
"Seine vielen, im  Vergleich zu seinem sonstigen Umfang kläglich dünnen Beine flimmerten ihm hilflos vor den Augen,",0,0,0,0,0,0,0
"Was ist mit mir geschehen,",0,0,0,0,0,0,0
"dachte er,",0,0,0,0,0,0,0
"Es war kein Traum,",0,0,0,0,0,0,0
"sein Zimmer, ein richtiges, nur etwas zu  kleines Menschenzimmer, lag ruhig zwischen den vier wohlbekannten Wänden,",2,1,1,S,1,1,0
"über dem Tisch, auf dem eine  auseinandergepackte Musterkollektion von Tuchwaren ausgebreitet war,",0,0,0,0,0,0,0
"Samsa war Reisender,",0,0,0,0,0,0,0
"hing das  Bild,",0,0,0,0,0,0,0
"das er vor kurzem aus einer illustrierten Zeitschrift ausgeschnitten,",0,0,0,0,0,0,0
"und in einem hübschen,  vergoldeten Rahmen untergebracht hatte,",0,0,0,0,0,0,0
"Es stellte eine Dame dar,",0,0,0,0,0,0,0
"die, mit einem Pelzhut und einer Pelzboa  versehen, aufrecht dasaß,",0,0,0,0,0,0,0
"und einen schweren Pelzmuff dem  Beschauer entgegenhob,",0,0,0,0,0,0,0
"in dem ihr ganzer Unterarm verschwunden war,",0,0,0,0,0,0,0
"Gregors Blick richtete sich dann zum Fenster,",0,0,0,0,0,0,0
"und das trübe Wetter machte ihn ganz melancholisch,",0,0,0,0,0,0,0
"man hörte Regentropfen auf das  Fensterblech aufschlagen,",0,0,0,0,0,0,0
"Wie wäre es,",0,0,0,0,0,0,0
"wenn ich noch ein wenig  weiterschliefe,",0,0,0,0,0,0,0
"und alle Narrheiten vergäße,",0,0,0,0,0,0,0
"dachte er,",0,0,0,0,0,0,0
"aber das war gänzlich undurchführbar,",0,0,0,0,0,0,0
"denn er war  gewöhnt, auf der rechten Seite zu schlafen,",0,0,0,0,0,0,0
"konnte sich aber in seinem gegenwärtigen Zustand nicht in  diese Lage bringen,",0,0,0,0,0,0,0
"Mit welcher Kraft er sich auch auf die rechte Seite warf,",0,0,0,0,0,0,0
"immer wieder schaukelte er  in die Rückenlage zurück,",0,0,0,0,0,0,0
"Er versuchte es wohl hundertmal,",0,0,0,0,0,0,0
"schloß die Augen, um die zappelnden Beine nicht sehen zu müssen,",0,0,0,0,0,0,0
"und ließ erst ab,",0,0,0,0,0,0,0
"als er in der Seite einen noch nie gefühlten, leichten, dumpfen Schmerz zu fühlen  begann,",0,0,0,0,0,0,0
"Ach Gott,",0,0,0,0,0,0,0
"dachte er,",0,0,0,0,0,0,0
"was für einen anstrengenden Beruf habe ich gewählt,",0,0,0,0,0,0,0
"Tag aus, Tag ein auf der  Reise,",0,0,0,0,0,0,0
"Die geschäftlichen Aufregungen sind viel größer, als im eigentlichen Geschäft zuhause,",0,0,0,0,0,0,0
"und außerdem  ist mir noch diese Plage des Reisens auferlegt, die Sorgen um die Zuganschlüsse, das unregelmäßige,  schlechte Essen, ein immer wechselnder, nie andauernder, nie herzlich werdender menschlicher Verkehr,",0,0,0,0,0,0,0
"Der  Teufel soll das alles holen,",0,0,0,0,0,0,0
"Er fühlte ein leichtes Jucken oben auf dem Bauch,",0,0,0,0,0,0,0
"schob sich auf dem Rücken  langsam näher zum Bettpfosten, um den Kopf besser heben zu können,",0,0,0,0,0,0,0
"fand die juckende Stelle,",0,0,0,0,0,0,0
"die mit  lauter kleinen weißen Pünktchen besetzt war,",0,0,0,0,0,0,0
"die er nicht zu beurteilen verstand,",0,0,0,0,0,0,0
"und wollte mit einem  Bein die Stelle betasten,",0,0,0,0,0,0,0
